"","B2","B4","B6","B8","B10","B20","B30","B40","B50","B60","B70","B80","B90","B100","Brieman"
"2",0.870416666666667,0.899,0.884666666666667,0.871333333333333,0.845583333333333,0.816583333333333,0.834583333333333,0.837,0.8395,0.839333333333333,0.823583333333333,0.846,0.844833333333333,0.840166666666667,0.839916666666667
"5",0.898416666666667,0.901916666666667,0.910416666666667,0.88025,0.8895,0.871166666666667,0.8595,0.845416666666667,0.872583333333333,0.856333333333333,0.857083333333333,0.87125,0.886416666666667,0.87425,0.88125
"8",0.888916666666667,0.901333333333333,0.883416666666667,0.89125,0.876166666666667,0.89,0.890916666666667,0.891916666666667,0.890916666666667,0.89725,0.883,0.916,0.889083333333333,0.90475,0.896083333333333
"11",0.892916666666667,0.880416666666667,0.87875,0.885916666666667,0.878833333333333,0.89575,0.900333333333333,0.87975,0.89525,0.883333333333333,0.886833333333333,0.866,0.864,0.887916666666667,0.891083333333333
"14",0.88725,0.889083333333333,0.89075,0.899166666666667,0.907916666666667,0.900833333333333,0.893583333333333,0.8775,0.865916666666667,0.87275,0.866666666666667,0.871916666666667,0.885583333333333,0.848416666666667,0.888333333333333
"17",0.892666666666667,0.895583333333333,0.889583333333333,0.904916666666667,0.91225,0.893083333333333,0.898083333333333,0.88175,0.881916666666667,0.876583333333333,0.867916666666667,0.876416666666667,0.878166666666667,0.877416666666667,0.888083333333333
"20",0.895166666666667,0.8995,0.9005,0.900333333333333,0.904666666666667,0.914416666666667,0.892083333333333,0.893333333333333,0.884916666666667,0.88125,0.86925,0.885416666666667,0.871666666666667,0.887416666666667,0.897416666666667
"23",0.902833333333333,0.897833333333333,0.903666666666667,0.903416666666667,0.899333333333333,0.898916666666667,0.907,0.906833333333333,0.89175,0.866166666666667,0.887833333333333,0.891833333333333,0.889666666666667,0.864416666666667,0.8955
"26",0.898833333333333,0.905916666666667,0.91025,0.904666666666667,0.907166666666667,0.9165,0.896416666666667,0.883583333333333,0.887,0.862166666666667,0.890333333333333,0.87975,0.890583333333333,0.870916666666667,0.895916666666667
"29",0.8995,0.902166666666667,0.903583333333333,0.909666666666667,0.900333333333333,0.91675,0.896416666666667,0.888166666666667,0.891583333333333,0.885833333333333,0.873666666666667,0.871583333333333,0.875833333333333,0.879333333333333,0.901166666666667
"32",0.903166666666667,0.897583333333333,0.90775,0.909833333333333,0.906083333333333,0.90175,0.910583333333333,0.8735,0.89775,0.884,0.891,0.893916666666667,0.886833333333333,0.871333333333333,0.904666666666667
"35",0.90275,0.908,0.903416666666667,0.9055,0.90675,0.912416666666667,0.900583333333333,0.898166666666667,0.895916666666667,0.889583333333333,0.900166666666667,0.879583333333333,0.888666666666667,0.897083333333333,0.903416666666667
"38",0.910083333333333,0.905916666666667,0.904666666666667,0.903416666666667,0.909666666666667,0.912666666666667,0.90025,0.891583333333333,0.900416666666667,0.902666666666667,0.906083333333333,0.87725,0.897333333333333,0.8645,0.898416666666667
"41",0.90175,0.902583333333333,0.907583333333333,0.90425,0.9105,0.9085,0.91275,0.924416666666667,0.8915,0.90975,0.9065,0.89575,0.886416666666667,0.87125,0.902166666666667
"44",0.89925,0.905916666666667,0.907583333333333,0.910916666666667,0.913416666666667,0.916166666666667,0.9145,0.909833333333333,0.909083333333333,0.889916666666667,0.893,0.898833333333333,0.889666666666667,0.88925,0.897166666666667
"47",0.904666666666667,0.905916666666667,0.907583333333333,0.912583333333333,0.910916666666667,0.922333333333333,0.906333333333333,0.9135,0.913083333333333,0.908916666666667,0.900833333333333,0.90675,0.89625,0.884166666666667,0.898833333333333
"50",0.908416666666667,0.907583333333333,0.908583333333333,0.90675,0.912333333333333,0.93175,0.912666666666667,0.919916666666667,0.916916666666667,0.898583333333333,0.909416666666667,0.92175,0.904166666666667,0.895416666666667,0.90275
"53",0.903416666666667,0.908583333333333,0.91025,0.908583333333333,0.909416666666667,0.9245,0.920166666666667,0.920416666666667,0.91275,0.90825,0.908416666666667,0.917,0.912583333333333,0.913833333333333,0.89425
"56",0.901916666666667,0.903583333333333,0.906916666666667,0.915083333333333,0.914416666666667,0.909583333333333,0.933833333333333,0.924916666666667,0.909833333333333,0.92025,0.919833333333333,0.916916666666667,0.92125,0.905166666666667,0.894666666666667
"59",0.9065,0.908833333333333,0.901916666666667,0.91025,0.914416666666667,0.93075,0.930083333333333,0.927083333333333,0.927,0.91675,0.91875,0.92,0.899916666666667,0.904,0.905083333333333
"62",0.90425,0.906083333333333,0.908,0.903583333333333,0.918583333333333,0.9355,0.918333333333333,0.924166666666667,0.924083333333333,0.934916666666667,0.9105,0.908416666666667,0.9055,0.889666666666667,0.906916666666667
"65",0.905916666666667,0.905916666666667,0.911083333333333,0.912333333333333,0.917333333333333,0.92825,0.934083333333333,0.92,0.931666666666667,0.921083333333333,0.925166666666667,0.908916666666667,0.93175,0.922166666666667,0.90525
"68",0.909416666666667,0.903416666666667,0.911916666666667,0.918583333333333,0.91775,0.925666666666667,0.93325,0.93225,0.923916666666667,0.928666666666667,0.91725,0.926083333333333,0.932916666666667,0.922916666666667,0.896916666666667
"71",0.904416666666667,0.912333333333333,0.904416666666667,0.906916666666667,0.911916666666667,0.923416666666667,0.937833333333333,0.927416666666667,0.92075,0.929083333333333,0.934833333333333,0.931833333333333,0.917333333333333,0.922666666666667,0.892583333333333
"74",0.892583333333333,0.903,0.911083333333333,0.906916666666667,0.918583333333333,0.934833333333333,0.935916666666667,0.932583333333333,0.933,0.936666666666667,0.927,0.93825,0.910666666666667,0.938166666666667,0.8965
"77",0.900916666666667,0.904416666666667,0.90525,0.91275,0.919416666666667,0.923666666666667,0.925583333333333,0.942333333333333,0.927833333333333,0.9305,0.931833333333333,0.926416666666667,0.92425,0.918833333333333,0.9065
"80",0.904833333333333,0.8965,0.905666666666667,0.92275,0.92025,0.92525,0.943833333333333,0.935666666666667,0.931583333333333,0.935916666666667,0.926583333333333,0.927333333333333,0.928916666666667,0.931833333333333,0.903583333333333
"83",0.90275,0.913583333333333,0.904,0.91025,0.908583333333333,0.928583333333333,0.921333333333333,0.933833333333333,0.939,0.9315,0.93075,0.919333333333333,0.935083333333333,0.927416666666667,0.898583333333333
"86",0.907333333333333,0.906083333333333,0.910666666666667,0.91775,0.91775,0.927333333333333,0.93175,0.936083333333333,0.938583333333333,0.940333333333333,0.9415,0.93725,0.91725,0.933833333333333,0.904
"89",0.905083333333333,0.909833333333333,0.90775,0.90525,0.921083333333333,0.928583333333333,0.936916666666667,0.929416666666667,0.9405,0.9305,0.93925,0.94225,0.925666666666667,0.932916666666667,0.90525
"92",0.907583333333333,0.904833333333333,0.91025,0.914,0.913583333333333,0.931916666666667,0.936916666666667,0.934,0.934833333333333,0.932,0.928666666666667,0.93575,0.92625,0.933833333333333,0.901083333333333
"95",0.903416666666667,0.908,0.909416666666667,0.909,0.920666666666667,0.924666666666667,0.938583333333333,0.933,0.93675,0.932416666666667,0.929583333333333,0.934916666666667,0.92925,0.93475,0.905666666666667
"98",0.9055,0.904,0.914,0.906083333333333,0.918166666666667,0.9365,0.937333333333333,0.933,0.941916666666667,0.936916666666667,0.92725,0.926833333333333,0.943,0.9295,0.905083333333333
